Data,Sabor,Local de venda,Preço,Tamanho,Vendas
2021-01-10,Uva,Supermercado,19.74,1kg,4
2021-01-10,Uva,Shopping,3.43,Casquinha,28
2021-01-10,Uva,Shopping,6.36,250g,22
2021-01-10,Uva,Shopping,11.7,500g,7
2021-01-10,Uva,Shopping,21.43,1kg,28
2021-01-10,Uva,Praia,3.61,Casquinha,14
2021-01-10,Uva,Praia,7.12,250g,12
2021-01-10,Uva,Praia,13.06,500g,0
2021-01-10,Uva,Praia,20.57,1kg,20
2021-01-10,Uva,Cidade,3.47,Casquinha,20
2021-01-10,Uva,Cidade,6.84,250g,10
2021-01-10,Uva,Cidade,13.11,500g,3
2021-01-10,Uva,Cidade,19.28,1kg,8
2021-01-17,Chocolate,Supermercado,3.74,Casquinha,35
2021-01-17,Chocolate,Supermercado,7.28,250g,26
2021-01-17,Chocolate,Supermercado,12.31,500g,27
2021-01-17,Chocolate,Supermercado,21.21,1kg,23
2021-01-17,Chocolate,Shopping,3.35,Casquinha,43
2021-01-17,Chocolate,Shopping,7.43,250g,19
2021-01-17,Chocolate,Shopping,13.18,500g,3
2021-01-17,Chocolate,Shopping,21.11,1kg,3
2021-01-17,Chocolate,Praia,3.39,Casquinha,65
2021-01-17,Chocolate,Praia,7.36,250g,31
2021-01-17,Chocolate,Praia,11.05,500g,28
2021-01-17,Chocolate,Praia,21.31,1kg,30
2021-01-17,Chocolate,Cidade,3.37,Casquinha,39
2021-01-17,Chocolate,Cidade,6.32,250g,38
2021-01-17,Chocolate,Cidade,12.97,500g,21
2021-01-17,Chocolate,Cidade,21.8,1kg,11
2021-01-17,Morango,Supermercado,3.82,Casquinha,54
2021-01-17,Morango,Supermercado,6.93,250g,35
2021-01-17,Morango,Supermercado,11.5,500g,32
2021-01-17,Morango,Supermercado,21.01,1kg,3
2021-01-17,Morango,Shopping,3.7,Casquinha,24
2021-01-17,Morango,Shopping,7.07,250g,22
2021-01-17,Morango,Shopping,11.86,500g,14
2021-01-17,Morango,Shopping,18.47,1kg,21
2021-01-17,Morango,Praia,3.25,Casquinha,48
2021-01-17,Morango,Praia,6.44,250g,43
2021-01-17,Morango,Praia,11.0,500g,19
2021-01-17,Morango,Praia,21.29,1kg,20
2021-01-17,Morango,Cidade,3.64,Casquinha,46
2021-01-17,Morango,Cidade,7.63,250g,20
2021-01-17,Morango,Cidade,13.17,500g,13
2021-01-17,Morango,Cidade,18.33,1kg,28
2021-01-17,Creme,Supermercado,3.69,Casquinha,7
2021-01-17,Creme,Supermercado,7.57,250g,35
2021-01-17,Creme,Supermercado,11.07,500g,12
2021-01-17,Creme,Supermercado,19.87,1kg,11
2021-01-17,Creme,Shopping,3.19,Casquinha,37
2021-01-17,Creme,Shopping,7.12,250g,25
2021-01-17,Creme,Shopping,13.11,500g,0
2021-01-17,Creme,Shopping,21.47,1kg,2
2021-01-17,Creme,Praia,3.31,Casquinha,34
2021-01-17,Creme,Praia,7.69,250g,33
2021-01-17,Creme,Praia,10.98,500g,23
2021-01-17,Creme,Praia,20.09,1kg,14
2021-01-17,Creme,Cidade,3.59,Casquinha,23
2021-01-17,Creme,Cidade,7.18,250g,38
2021-01-17,Creme,Cidade,12.2,500g,14
2021-01-17,Creme,Cidade,20.48,1kg,21
2021-01-17,Limão,Supermercado,3.34,Casquinha,19
2021-01-17,Limão,Supermercado,6.79,250g,1
2021-01-17,Limão,Supermercado,12.2,500g,0
2021-01-17,Limão,Supermercado,21.26,1kg,12
2021-01-17,Limão,Shopping,3.63,Casquinha,26
2021-01-17,Limão,Shopping,6.89,250g,28
2021-01-17,Limão,Shopping,13.04,500g,10
2021-01-17,Limão,Shopping,21.24,1kg,5
2021-01-17,Limão,Praia,3.84,Casquinha,28
2021-01-17,Limão,Praia,6.83,250g,7
2021-01-17,Limão,Praia,13.13,500g,17
2021-01-17,Limão,Praia,19.87,1kg,13
2021-01-17,Limão,Cidade,3.44,Casquinha,19
2021-01-17,Limão,Cidade,7.51,250g,14
2021-01-17,Limão,Cidade,12.75,500g,27
2021-01-17,Limão,Cidade,21.78,1kg,12
2021-01-17,Uva,Supermercado,3.74,Casquinha,10
2021-01-17,Uva,Supermercado,6.48,250g,0
2021-01-17,Uva,Supermercado,13.09,500g,0
2021-01-17,Uva,Supermercado,20.69,1kg,11
2021-01-17,Uva,Shopping,3.58,Casquinha,4
2021-01-17,Uva,Shopping,7.24,250g,5
2021-01-17,Uva,Shopping,12.05,500g,8
2021-01-17,Uva,Shopping,21.41,1kg,20
2021-01-17,Uva,Praia,3.54,Casquinha,27
2021-01-17,Uva,Praia,6.86,250g,13
2021-01-17,Uva,Praia,11.12,500g,24
2021-01-17,Uva,Praia,18.85,1kg,15
2021-01-17,Uva,Cidade,3.25,Casquinha,0
2021-01-17,Uva,Cidade,6.91,250g,24
2021-01-17,Uva,Cidade,12.97,500g,10
2021-01-17,Uva,Cidade,21.13,1kg,0
2021-01-24,Chocolate,Supermercado,3.43,Casquinha,51
2021-01-24,Chocolate,Supermercado,7.63,250g,33
2021-01-24,Chocolate,Supermercado,11.15,500g,23
2021-01-24,Chocolate,Supermercado,19.03,1kg,25
2021-01-24,Chocolate,Shopping,3.47,Casquinha,37
2021-01-24,Chocolate,Shopping,6.76,250g,31
2021-01-24,Chocolate,Shopping,12.32,500g,20
2021-01-24,Chocolate,Shopping,18.52,1kg,15
2021-01-24,Chocolate,Praia,3.24,Casquinha,39
2021-01-24,Chocolate,Praia,6.78,250g,40
2021-01-24,Chocolate,Praia,12.95,500g,49
2021-01-24,Chocolate,Praia,18.69,1kg,18
2021-01-24,Chocolate,Cidade,3.28,Casquinha,33
2021-01-24,Chocolate,Cidade,6.42,250g,24
2021-01-24,Chocolate,Cidade,11.09,500g,9
2021-01-24,Chocolate,Cidade,19.46,1kg,16
2021-01-24,Morango,Supermercado,3.5,Casquinha,33
2021-01-24,Morango,Supermercado,7.42,250g,25
2021-01-24,Morango,Supermercado,12.31,500g,28
2021-01-24,Morango,Supermercado,20.99,1kg,8
2021-01-24,Morango,Shopping,3.28,Casquinha,26
2021-01-24,Morango,Shopping,6.98,250g,10
2021-01-24,Morango,Shopping,12.28,500g,11
2021-01-24,Morango,Shopping,20.99,1kg,0
2021-01-24,Morango,Praia,3.18,Casquinha,50
2021-01-24,Morango,Praia,7.55,250g,20
2021-01-24,Morango,Praia,12.03,500g,14
2021-01-24,Morango,Praia,19.79,1kg,18
2021-01-24,Morango,Cidade,3.52,Casquinha,26
2021-01-24,Morango,Cidade,6.83,250g,15
2021-01-24,Morango,Cidade,10.85,500g,9
2021-01-24,Morango,Cidade,19.31,1kg,8
2021-01-24,Creme,Supermercado,3.23,Casquinha,30
2021-01-24,Creme,Supermercado,7.25,250g,29
2021-01-24,Creme,Supermercado,12.69,500g,7
2021-01-24,Creme,Supermercado,20.15,1kg,11
2021-01-24,Creme,Shopping,3.56,Casquinha,20
2021-01-24,Creme,Shopping,6.48,250g,33
2021-01-24,Creme,Shopping,11.48,500g,28
2021-01-24,Creme,Shopping,20.28,1kg,0
2021-01-24,Creme,Praia,3.4,Casquinha,33
2021-01-24,Creme,Praia,6.63,250g,25
2021-01-24,Creme,Praia,11.04,500g,14
2021-01-24,Creme,Praia,18.64,1kg,8
2021-01-24,Creme,Cidade,3.28,Casquinha,19
2021-01-24,Creme,Cidade,7.56,250g,14
2021-01-24,Creme,Cidade,10.99,500g,0
2021-01-24,Creme,Cidade,21.93,1kg,18
2021-01-24,Limão,Supermercado,3.23,Casquinha,24
2021-01-24,Limão,Supermercado,7.51,250g,14
2021-01-24,Limão,Supermercado,12.76,500g,4
2021-01-24,Limão,Supermercado,20.67,1kg,3
2021-01-24,Limão,Shopping,3.8,Casquinha,39
2021-01-24,Limão,Shopping,6.69,250g,29
2021-01-24,Limão,Shopping,12.65,500g,5
2021-01-24,Limão,Shopping,19.7,1kg,0
2021-01-24,Limão,Praia,3.51,Casquinha,20
2021-01-24,Limão,Praia,7.15,250g,14
2021-01-24,Limão,Praia,11.49,500g,3
2021-01-24,Limão,Praia,19.92,1kg,13
2021-01-24,Limão,Cidade,3.52,Casquinha,19
2021-01-24,Limão,Cidade,6.49,250g,10
2021-01-24,Limão,Cidade,10.95,500g,5
2021-01-24,Limão,Cidade,20.73,1kg,16
2021-01-24,Uva,Supermercado,3.68,Casquinha,6
2021-01-24,Uva,Supermercado,6.88,250g,34
2021-01-24,Uva,Supermercado,11.64,500g,9
2021-01-24,Uva,Supermercado,18.72,1kg,6
2021-01-24,Uva,Shopping,3.2,Casquinha,17
2021-01-24,Uva,Shopping,7.48,250g,24
2021-01-24,Uva,Shopping,11.14,500g,1
2021-01-24,Uva,Shopping,18.65,1kg,11
2021-01-24,Uva,Praia,3.26,Casquinha,22
2021-01-24,Uva,Praia,7.03,250g,22
2021-01-24,Uva,Praia,11.66,500g,6
2021-01-24,Uva,Praia,21.27,1kg,16
2021-01-24,Uva,Cidade,3.46,Casquinha,7
2021-01-24,Uva,Cidade,6.72,250g,0
2021-01-24,Uva,Cidade,12.59,500g,0
2021-01-24,Uva,Cidade,21.6,1kg,6
2021-01-31,Chocolate,Supermercado,3.42,Casquinha,50
2021-01-31,Chocolate,Supermercado,7.17,250g,30
2021-01-31,Chocolate,Supermercado,11.08,500g,25
2021-01-31,Chocolate,Supermercado,19.34,1kg,23
2021-01-31,Chocolate,Shopping,3.25,Casquinha,42
2021-01-31,Chocolate,Shopping,7.05,250g,39
2021-01-31,Chocolate,Shopping,12.95,500g,16
2021-01-31,Chocolate,Shopping,19.25,1kg,20
2021-01-31,Chocolate,Praia,3.32,Casquinha,65
2021-01-31,Chocolate,Praia,7.53,250g,40
2021-01-31,Chocolate,Praia,11.62,500g,41
2021-01-31,Chocolate,Praia,18.6,1kg,17
2021-01-31,Chocolate,Cidade,3.31,Casquinha,51
2021-01-31,Chocolate,Cidade,7.2,250g,39
2021-01-31,Chocolate,Cidade,12.47,500g,7
2021-01-31,Chocolate,Cidade,19.38,1kg,20
2021-01-31,Morango,Supermercado,3.28,Casquinha,36
2021-01-31,Morango,Supermercado,6.86,250g,33
2021-01-31,Morango,Supermercado,11.91,500g,21
2021-01-31,Morango,Supermercado,20.45,1kg,41
2021-01-31,Morango,Shopping,3.16,Casquinha,49
2021-01-31,Morango,Shopping,7.59,250g,28
2021-01-31,Morango,Shopping,12.5,500g,20
2021-01-31,Morango,Shopping,20.43,1kg,2
2021-01-31,Morango,Praia,3.45,Casquinha,43
2021-01-31,Morango,Praia,7.6,250g,31
2021-01-31,Morango,Praia,11.88,500g,49
2021-01-31,Morango,Praia,19.6,1kg,23
2021-01-31,Morango,Cidade,3.19,Casquinha,45
2021-01-31,Morango,Cidade,6.31,250g,19
2021-01-31,Morango,Cidade,11.6,500g,28
2021-01-31,Morango,Cidade,21.68,1kg,0
2021-01-31,Creme,Supermercado,3.39,Casquinha,40
2021-01-31,Creme,Supermercado,6.93,250g,11
2021-01-31,Creme,Supermercado,11.34,500g,4
2021-01-31,Creme,Supermercado,18.71,1kg,10
2021-01-31,Creme,Shopping,3.5,Casquinha,33
2021-01-31,Creme,Shopping,6.81,250g,16
2021-01-31,Creme,Shopping,12.19,500g,4
2021-01-31,Creme,Shopping,21.84,1kg,15
2021-01-31,Creme,Praia,3.25,Casquinha,25
2021-01-31,Creme,Praia,7.7,250g,22
2021-01-31,Creme,Praia,12.01,500g,12
2021-01-31,Creme,Praia,21.0,1kg,15
2021-01-31,Creme,Cidade,3.3,Casquinha,26
2021-01-31,Creme,Cidade,6.57,250g,21
2021-01-31,Creme,Cidade,10.89,500g,41
2021-01-31,Creme,Cidade,18.26,1kg,0
2021-01-31,Limão,Supermercado,3.69,Casquinha,34
2021-01-31,Limão,Supermercado,6.92,250g,0
2021-01-31,Limão,Supermercado,11.76,500g,0
2021-01-31,Limão,Supermercado,18.73,1kg,11
2021-01-31,Limão,Shopping,3.75,Casquinha,17
2021-01-31,Limão,Shopping,6.68,250g,18
2021-01-31,Limão,Shopping,12.35,500g,7
2021-01-31,Limão,Shopping,18.62,1kg,7
2021-01-31,Limão,Praia,3.65,Casquinha,24
2021-01-31,Limão,Praia,6.61,250g,18
2021-01-31,Limão,Praia,11.35,500g,15
2021-01-31,Limão,Praia,18.71,1kg,9
2021-01-31,Limão,Cidade,3.61,Casquinha,17
2021-01-31,Limão,Cidade,6.64,250g,12
2021-01-31,Limão,Cidade,12.53,500g,14
2021-01-31,Limão,Cidade,19.59,1kg,11
2021-01-31,Uva,Supermercado,3.62,Casquinha,7
2021-01-31,Uva,Supermercado,7.55,250g,0
2021-01-31,Uva,Supermercado,10.83,500g,0
2021-01-31,Uva,Supermercado,21.57,1kg,23
2021-01-31,Uva,Shopping,3.72,Casquinha,0
2021-01-31,Uva,Shopping,6.83,250g,0
2021-01-31,Uva,Shopping,12.22,500g,14
2021-01-31,Uva,Shopping,19.64,1kg,0
2021-01-31,Uva,Praia,3.54,Casquinha,0
2021-01-31,Uva,Praia,7.63,250g,6
2021-01-31,Uva,Praia,12.63,500g,19
2021-01-31,Uva,Praia,21.2,1kg,6
2021-01-31,Uva,Cidade,3.45,Casquinha,35
2021-01-31,Uva,Cidade,6.66,250g,16
2021-01-31,Uva,Cidade,11.13,500g,0
2021-01-31,Uva,Cidade,19.09,1kg,7
2021-02-07,Chocolate,Supermercado,3.16,Casquinha,25
2021-02-07,Chocolate,Supermercado,7.08,250g,35
2021-02-07,Chocolate,Supermercado,12.36,500g,19
2021-02-07,Chocolate,Supermercado,18.04,1kg,23
2021-02-07,Chocolate,Shopping,3.25,Casquinha,54
2021-02-07,Chocolate,Shopping,7.23,250g,42
2021-02-07,Chocolate,Shopping,11.22,500g,20
2021-02-07,Chocolate,Shopping,19.53,1kg,24
2021-02-07,Chocolate,Praia,3.51,Casquinha,46
2021-02-07,Chocolate,Praia,7.14,250g,37
2021-02-07,Chocolate,Praia,11.39,500g,13
2021-02-07,Chocolate,Praia,19.42,1kg,13
2021-02-07,Chocolate,Cidade,3.65,Casquinha,47
2021-02-07,Chocolate,Cidade,6.97,250g,12
2021-02-07,Chocolate,Cidade,12.39,500g,24
2021-02-07,Chocolate,Cidade,18.86,1kg,19
2021-02-07,Morango,Supermercado,3.17,Casquinha,41
2021-02-07,Morango,Supermercado,6.37,250g,9
2021-02-07,Morango,Supermercado,11.99,500g,3
2021-02-07,Morango,Supermercado,21.08,1kg,24
2021-02-07,Morango,Shopping,3.22,Casquinha,33
2021-02-07,Morango,Shopping,6.99,250g,19
2021-02-07,Morango,Shopping,12.45,500g,2
2021-02-07,Morango,Shopping,21.28,1kg,9
2021-02-07,Morango,Praia,3.71,Casquinha,31
2021-02-07,Morango,Praia,7.13,250g,39
2021-02-07,Morango,Praia,11.67,500g,10
2021-02-07,Morango,Praia,20.17,1kg,15
2021-02-07,Morango,Cidade,3.76,Casquinha,43
2021-02-07,Morango,Cidade,7.22,250g,31
2021-02-07,Morango,Cidade,12.46,500g,15
2021-02-07,Morango,Cidade,19.96,1kg,21
2021-02-07,Creme,Supermercado,3.3,Casquinha,36
2021-02-07,Creme,Supermercado,6.35,250g,21
2021-02-07,Creme,Supermercado,12.47,500g,20
2021-02-07,Creme,Supermercado,21.88,1kg,9
2021-02-07,Creme,Shopping,3.81,Casquinha,36
2021-02-07,Creme,Shopping,7.48,250g,17
2021-02-07,Creme,Shopping,11.57,500g,0
2021-02-07,Creme,Shopping,18.48,1kg,15
2021-02-07,Creme,Praia,3.2,Casquinha,23
2021-02-07,Creme,Praia,7.31,250g,36
2021-02-07,Creme,Praia,10.96,500g,23
2021-02-07,Creme,Praia,21.16,1kg,0
2021-02-07,Creme,Cidade,3.37,Casquinha,36
2021-02-07,Creme,Cidade,7.16,250g,22
2021-02-07,Creme,Cidade,11.36,500g,23
2021-02-07,Creme,Cidade,21.2,1kg,12
2021-02-07,Limão,Supermercado,3.85,Casquinha,33
2021-02-07,Limão,Supermercado,6.86,250g,8
2021-02-07,Limão,Supermercado,11.95,500g,21
2021-02-07,Limão,Supermercado,21.94,1kg,12
2021-02-07,Limão,Shopping,3.69,Casquinha,2
2021-02-07,Limão,Shopping,7.33,250g,0
2021-02-07,Limão,Shopping,11.37,500g,7
2021-02-07,Limão,Shopping,19.15,1kg,0
2021-02-07,Limão,Praia,3.36,Casquinha,5
2021-02-07,Limão,Praia,7.25,250g,5
2021-02-07,Limão,Praia,11.32,500g,12
2021-02-07,Limão,Praia,21.52,1kg,2
2021-02-07,Limão,Cidade,3.81,Casquinha,44
2021-02-07,Limão,Cidade,6.53,250g,8
2021-02-07,Limão,Cidade,13.18,500g,23
2021-02-07,Limão,Cidade,20.05,1kg,25
2021-02-07,Uva,Supermercado,3.31,Casquinha,8
2021-02-07,Uva,Supermercado,6.56,250g,4
2021-02-07,Uva,Supermercado,12.67,500g,3
2021-02-07,Uva,Supermercado,21.88,1kg,4
2021-02-07,Uva,Shopping,3.77,Casquinha,8
2021-02-07,Uva,Shopping,7.36,250g,0
2021-02-07,Uva,Shopping,12.47,500g,10
2021-02-07,Uva,Shopping,18.9,1kg,1
2021-02-07,Uva,Praia,3.31,Casquinha,40
2021-02-07,Uva,Praia,7.11,250g,21
2021-02-07,Uva,Praia,11.02,500g,5
2021-02-07,Uva,Praia,18.52,1kg,13
2021-02-07,Uva,Cidade,3.77,Casquinha,19
2021-02-07,Uva,Cidade,7.07,250g,20
2021-02-07,Uva,Cidade,11.01,500g,0
2021-02-07,Uva,Cidade,19.04,1kg,0
2021-02-14,Chocolate,Supermercado,3.66,Casquinha,33
2021-02-14,Chocolate,Supermercado,6.61,250g,29
2021-02-14,Chocolate,Supermercado,12.44,500g,0
2021-02-14,Chocolate,Supermercado,20.37,1kg,9
2021-02-14,Chocolate,Shopping,3.73,Casquinha,51
2021-02-14,Chocolate,Shopping,7.09,250g,15
2021-02-14,Chocolate,Shopping,11.44,500g,24
2021-02-14,Chocolate,Shopping,20.63,1kg,19
2021-02-14,Chocolate,Praia,3.75,Casquinha,54
2021-02-14,Chocolate,Praia,7.47,250g,43
2021-02-14,Chocolate,Praia,12.47,500g,38
2021-02-14,Chocolate,Praia,21.01,1kg,36
2021-02-14,Chocolate,Cidade,3.26,Casquinha,38
2021-02-14,Chocolate,Cidade,7.34,250g,21
2021-02-14,Chocolate,Cidade,11.19,500g,28
2021-02-14,Chocolate,Cidade,20.03,1kg,22
2021-02-14,Morango,Supermercado,3.15,Casquinha,43
2021-02-14,Morango,Supermercado,7.67,250g,10
2021-02-14,Morango,Supermercado,12.32,500g,27
2021-02-14,Morango,Supermercado,20.16,1kg,1
2021-02-14,Morango,Shopping,3.7,Casquinha,34
2021-02-14,Morango,Shopping,7.06,250g,18
2021-02-14,Morango,Shopping,13.11,500g,30
2021-02-14,Morango,Shopping,21.73,1kg,0
2021-02-14,Morango,Praia,3.22,Casquinha,43
2021-02-14,Morango,Praia,6.39,250g,34
2021-02-14,Morango,Praia,11.52,500g,20
2021-02-14,Morango,Praia,20.33,1kg,19
2021-02-14,Morango,Cidade,3.39,Casquinha,30
2021-02-14,Morango,Cidade,7.52,250g,26
2021-02-14,Morango,Cidade,13.14,500g,23
2021-02-14,Morango,Cidade,18.1,1kg,9
2021-02-14,Creme,Supermercado,3.17,Casquinha,26
2021-02-14,Creme,Supermercado,7.38,250g,0
2021-02-14,Creme,Supermercado,12.44,500g,0
2021-02-14,Creme,Supermercado,21.99,1kg,7
2021-02-14,Creme,Shopping,3.45,Casquinha,12
2021-02-14,Creme,Shopping,7.41,250g,16
2021-02-14,Creme,Shopping,12.46,500g,25
2021-02-14,Creme,Shopping,19.09,1kg,23
2021-02-14,Creme,Praia,3.82,Casquinha,31
2021-02-14,Creme,Praia,7.62,250g,12
2021-02-14,Creme,Praia,11.81,500g,6
2021-02-14,Creme,Praia,19.1,1kg,31
2021-02-14,Creme,Cidade,3.84,Casquinha,36
2021-02-14,Creme,Cidade,6.62,250g,17
2021-02-14,Creme,Cidade,11.31,500g,16
